release_year,duration,type_Movie,rating_G,rating_NC-17,rating_NR,rating_PG,rating_PG-13,rating_R,rating_TV-14,rating_TV-G,rating_TV-MA,rating_TV-PG,rating_TV-Y,rating_TV-Y7,rating_TV-Y7-FV,rating_UR,director_en,country_en,listed_in_en
2012,122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1784],"[57, 60]","[2, 12, 24]"
2009,126,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[3570],[17],"[2, 12, 24]"
2014,116,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1784],[17],"[2, 12, 24]"
2016,135,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1445],[17],"[2, 12, 33]"
2009,125,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[1144, 1445, 3386, 3516, 3597]",[17],"[12, 21]"
2004,96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[1144, 1445]",[17],"[12, 21]"
2011,130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1331],[17],"[12, 24]"
2016,98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[521],[57],"[16, 24]"
2017,70,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[400],[57],[22]
2016,128,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1767],[107],"[11, 12, 33]"
2017,88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2751],[21],[21]
2019,108,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[1380],[57],"[2, 33]"
2019,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1251],[34],"[12, 16, 24]"
2018,135,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[1959],[57],"[7, 28]"
2015,88,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[2675],"[19, 37]","[2, 12, 24]"
2019,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2344],[19],[22]
2012,107,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[2254],"[57, 140]","[16, 25]"
2017,130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2437],[89],"[12, 33]"
2016,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[1159, 3256]","[86, 115]",[23]
2018,96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2926],"[19, 115]",[7]
2010,112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[921],"[46, 115]","[7, 12]"
2018,111,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2309],[111],"[11, 12, 33]"
2017,103,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2529],[57],"[21, 26]"
2017,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[91],[57],[23]
2017,103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[3444],[57],"[2, 33]"
2017,85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[698],[0],"[12, 23]"
2015,72,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,[3543],[57],"[25, 29]"
2019,45,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[3336],[0],"[12, 23]"
2019,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[848],"[37, 86, 112, 132, 137]","[26, 30]"
2019,90,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[3336],[0],"[12, 33]"
2012,126,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[940],[16],"[12, 33]"
2018,130,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1205],[149],"[7, 12, 28]"
2018,126,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2574],[57],"[7, 16]"
2018,24,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[2513],[57],[23]
2015,127,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[2293],[16],"[2, 12, 24]"
2018,108,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[920],[16],"[12, 21]"
2013,163,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2528],[16],"[2, 12, 33]"
2018,117,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[6, 255]",[103],"[12, 23]"
2016,106,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[8],"[97, 140]",[23]
2018,102,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1306],[46],"[12, 24]"
2019,116,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[3376],[57],"[26, 28, 33]"
2019,42,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[140, 185, 333, 868, 894, 1245, 1313, 2106, 2944, 3136]",[57],"[3, 28, 29]"
2016,95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2041],[113],"[11, 12, 33]"
2015,104,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[601],"[5, 27]","[11, 12, 33]"
2000,75,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"[1130, 3493]",[57],"[14, 16, 25]"
2019,133,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1224],[34],"[2, 30]"
2013,108,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[2557],"[113, 143]","[7, 12, 16]"
2018,103,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[879],[57],[7]
2017,82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2085],[57],[22]
2016,94,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[1871, 2152]",[57],[23]
2014,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[419, 1938]",[57],[23]
2019,38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[2668],"[45, 57]","[12, 23]"
2019,97,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1269],[81],"[7, 12, 16]"
2016,89,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[1684, 2542]","[27, 60]","[17, 25]"
2019,146,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[452],[34],"[12, 24, 29]"
2019,146,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[452],[34],"[12, 24, 29]"
2016,130,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[236],[57],[7]
2018,110,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[3311],[57],[25]
2017,81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[158],[57],[23]
2016,91,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1643],[19],"[11, 24, 26]"
2019,106,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1527],[57],[7]
2019,58,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[457],[57],[22]
2017,111,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2836],[149],"[7, 12]"
2014,112,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[2611],[21],"[12, 24]"
2017,102,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1916],"[2, 103]","[1, 12, 24]"
2019,152,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1182],[34],"[12, 16, 24]"
2018,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[3064],[57],"[2, 11, 24]"
2016,99,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[477, 1866]",[57],[23]
2016,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[3345],[57],[22]
2009,121,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[141],[34],"[11, 12, 33]"
2013,91,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[2826],[57],"[23, 29]"
2018,101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2719],"[19, 115]","[12, 26, 31]"
2017,101,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1601],[57],"[23, 29]"
2016,119,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1084],[57],"[11, 26, 33]"
2015,83,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[3481],[57],[24]
2018,182,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1559],[24],"[12, 33]"
2018,106,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[149],[24],"[12, 24]"
2010,102,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[2018],[27],"[12, 33]"
2017,98,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2609],[24],"[2, 12, 24]"
2018,124,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[534, 2848]",[57],"[23, 29]"
2018,63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[111],[22]
2019,83,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1101],[57],[24]
2019,82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[148],[57],"[11, 15, 33]"
2018,111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[55],[46],"[12, 24]"
2019,24,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,[0],[21],[25]
2016,102,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2880],[113],"[12, 33]"
1983,103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[0],[113],"[7, 12, 16]"
2014,87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[144, 3540]","[57, 106, 140]","[11, 33]"
2017,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[3521],[57],[23]
2016,116,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2537],[81],"[7, 12, 17]"
2016,139,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[939],[149],"[12, 16, 24]"
2016,101,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3267],[57],"[26, 33]"
2014,130,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[3040],"[37, 69, 140, 164]","[12, 33]"
2019,171,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1503],[34],"[2, 12, 33]"
2009,84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"[395, 3346]","[27, 35, 77, 80, 115]","[12, 23]"
2017,112,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[624, 1287]",[57],"[26, 28, 31]"
2017,62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1902],[57],[22]
2016,65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[0],[22]
2016,65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[0],[22]
2016,69,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[0],[22]
2016,64,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[0],[22]
2016,63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[0],[22]
2016,63,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[0],[0],[22]
2016,112,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[2092],"[21, 115, 140]","[26, 33]"
2018,103,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1971],[57],[24]
2017,64,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,[1962],[57],[25]
2015,82,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[2826],[57],"[23, 29]"
2019,80,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2709],[57],"[11, 21]"
2019,88,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2926],[19],[7]
2017,124,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1327],[57],"[23, 29]"
1982,104,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1074],[113],"[7, 12]"
2012,76,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1773],[57],[22]
2015,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3319],"[19, 60, 115]","[11, 21]"
2016,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1278],[57],"[7, 16]"
2014,93,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[115],[57],"[21, 26]"
2010,112,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[857],"[57, 60, 138, 140]","[7, 13, 17]"
2016,89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2876],"[21, 115]","[26, 28, 30]"
2016,60,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[457],[57],[22]
2010,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[2089],[57],[32]
2015,93,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[1733, 3185]",[57],[23]
2016,41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1730],[19],[23]
2019,64,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1368],[57],"[12, 23, 29]"
2006,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2962],[57],[23]
2019,86,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2984],[57],[32]
2011,113,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1761],[16],"[12, 16, 24]"
2016,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1659],[97],"[12, 33]"
2018,153,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[3191],[34],"[2, 12, 33]"
2017,111,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1722],[16],"[2, 12, 33]"
2005,141,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2259],[16],"[12, 33]"
2018,128,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[369],[34],"[7, 12, 16]"
2017,52,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1264],[0],[23]
2017,117,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[627],[34],"[12, 33]"
2017,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1260],[34],"[12, 33]"
2017,112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2345],[34],"[12, 33]"
2017,110,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2874],[34],"[12, 33]"
2018,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[43, 2726]",[0],"[12, 21]"
2017,137,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1148],"[42, 115]",[33]
2013,108,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1001],[108],"[12, 33]"
2016,132,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1463],[107],"[12, 16, 24]"
2017,87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2583],"[45, 57]",[7]
2016,92,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2583],[161],"[7, 11]"
2017,108,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1225],"[57, 163]",[23]
2016,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"[1282, 2547]",[57],[24]
2012,83,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2512],[57],"[23, 29]"
2014,90,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"[562, 1003]",[57],[23]
2019,157,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[452],[34],"[12, 24, 29]"
2019,83,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[2622],[57],"[12, 23]"
2018,95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[24],[57],"[26, 33]"
2002,107,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[3438],[17],"[12, 33]"
2018,109,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[353],[153],"[7, 12, 28]"
2010,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[83, 2298, 2785, 3552]",[17],"[12, 21]"
2018,114,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[693],"[115, 150]","[12, 26, 33]"
2018,98,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1821],[57],"[11, 16, 24]"
2019,106,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1298],[57],[33]
2019,87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[3441],[57],[10]
2018,90,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[3257],[57],"[11, 21]"
2019,65,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2871],[57],[23]
2018,105,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1899],[46],"[12, 24]"
2019,107,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1032],[149],"[2, 12, 33]"
2019,103,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1179],[57],"[2, 17, 25]"
2018,88,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"[2306, 3396]",[57],"[7, 28]"
2018,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[0],[57],[23]
2017,78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[1214],[57],[23]
2016,25,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[1042],[57],[23]
2013,96,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[1312],[57],"[17, 25]"
2018,100,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[3138],[31],"[12, 33]"
2017,40,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2561],[57],[23]
2017,71,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[426],[57],[22]
2018,123,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[540],[105],"[12, 33]"
2014,89,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2191],[19],[21]
2019,67,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2134],"[57, 140]",[22]
2010,140,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[1193],[57],"[2, 33]"
2019,96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1730],[0],"[12, 23]"
2019,93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[45, 634]",[19],"[12, 23]"
2018,86,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1844],[57],[10]
2017,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[1853],[57],"[11, 24, 26]"
2000,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[613],"[57, 60]","[13, 16, 24]"
1997,108,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[551],[57],[7]
2012,81,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[3325],"[111, 115]","[12, 23]"
2017,102,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[554],"[19, 60, 115]",[7]
2018,93,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1418],[57],[23]
2008,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[317],"[37, 57]",[25]
2005,94,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[877],"[60, 82, 115]","[2, 24]"
2019,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2972],[24],"[12, 33]"
2007,88,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[359],[57],[24]
2009,109,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[1237],[57],[33]
2003,138,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3093],"[57, 118]","[26, 33]"
2014,149,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2972],[24],"[12, 26, 33]"
2014,82,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"[473, 3325]","[20, 29, 33, 37, 86]","[11, 12, 33]"
2006,86,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"[1160, 2765]",[57],"[17, 25]"
2012,112,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2972],[24],"[2, 12, 24]"
2006,98,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[1734],[57],"[7, 16]"
2008,113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[260],[57],"[11, 33]"
2004,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,[3015],[57],[25]
1981,106,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3177],[57],"[9, 13, 17]"
2007,113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3399],[57],"[13, 24]"
2017,119,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2972],[24],"[2, 12, 33]"
2016,109,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2972],[24],"[12, 26, 33]"
2006,98,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,[2697],[57],"[2, 28, 33]"
2010,88,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[671],"[27, 115]","[11, 21, 26]"
1997,116,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[1276],[57],"[2, 7]"
2009,106,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3568],"[57, 140]",[7]
2019,95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[192],[145],"[12, 24]"
2018,95,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1055],[85],"[7, 12, 17]"
2008,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[3212],[57],"[7, 17]"
2015,122,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1992],[103],"[6, 12, 23]"
2005,110,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[3490],[57],"[26, 31]"
2017,104,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2439],"[27, 137]","[12, 26, 33]"
2018,96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[2189],[57],"[21, 26]"
2018,109,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[2713],[34],"[11, 12, 33]"
2018,95,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[3003],[34],"[16, 17, 25]"
2018,110,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[3281],[34],"[11, 12, 33]"
2017,110,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[525],[34],"[11, 12, 33]"
2007,79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[2574],[57],"[1, 13, 24]"
2018,101,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[2862],"[34, 40, 67]","[11, 12, 33]"
2013,112,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1445],[17],"[1, 12, 24]"
1991,94,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,[2399],[161],"[11, 12, 24]"
2017,94,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2679],[27],"[6, 12, 33]"
2017,86,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[529],[57],[21]
2017,84,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[1745],[57],"[11, 21, 26]"
2017,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[2215],[57],"[26, 33]"
2018,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[1192],[0],"[6, 12, 23]"
2017,113,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,[129],[17],"[12, 21, 26]"
1994,111,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[645],[57],[7]
2018,68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[2017],[0],[25]
1988,148,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,[2931],[34],"[7, 12]"
