type,release_year,rating,duration,director_en,country_en,listed_in_en
Movie,2018,PG-13,103,[2291],[54],[34]
Movie,2017,TV-MA,82,[752],[54],[29]
Movie,2016,TV-MA,94,"[824, 3601]",[54],[20]
Movie,2014,TV-14,100,"[308, 1032]",[54],[20]
Movie,2019,TV-G,38,[3573],"[54, 58]","[8, 20]"
Movie,2019,TV-MA,97,[2300],[80],"[2, 8, 34]"
Movie,2016,PG,89,"[1394, 3375]","[59, 85]","[17, 31]"
Movie,2019,TV-14,146,[2388],[86],"[8, 26, 27]"
Movie,2019,TV-14,146,[2388],[86],"[8, 26, 27]"
Movie,2016,R,130,[3278],[54],[34]
Movie,2018,PG,110,[455],[54],[17]
Movie,2017,TV-14,81,[1746],[54],[20]
Movie,2016,TV-MA,91,[115],[7],"[13, 26, 28]"
Movie,2019,R,106,[1406],[54],[34]
Movie,2019,TV-MA,58,[1350],[54],[29]
Movie,2017,TV-MA,111,[1011],[75],"[8, 34]"
Movie,2014,NR,112,[827],[154],"[8, 26]"
Movie,2017,TV-MA,102,[2818],"[82, 87]","[0, 8, 26]"
Movie,2019,TV-MA,152,[3260],[86],"[2, 8, 26]"
Movie,2018,TV-MA,87,[3376],[54],"[24, 26, 28]"
Movie,2016,TV-14,99,"[5, 2924]",[54],[20]
Movie,2016,TV-MA,78,[1063],[54],[29]
Movie,2009,TV-14,121,[2907],[86],"[8, 23, 28]"
Movie,2013,PG-13,91,[598],[54],"[20, 27]"
Movie,2018,TV-MA,101,[2637],"[7, 102]","[8, 13, 22]"
Movie,2017,TV-MA,101,[727],[54],"[20, 27]"
Movie,2016,R,119,[2425],[54],"[13, 23, 28]"
Movie,2015,PG-13,83,[3288],[54],[26]
Movie,2018,TV-MA,182,[2450],[143],"[8, 23]"
Movie,2018,TV-MA,106,[832],[143],"[8, 26]"
Movie,2010,PG-13,102,[3197],[59],"[8, 23]"
Movie,2017,TV-14,98,[1391],[143],"[8, 24, 26]"
Movie,2018,TV-MA,124,"[296, 2759]",[54],"[20, 27]"
Movie,2018,TV-MA,63,[0],[89],[29]
Movie,2019,TV-MA,83,[216],[54],[26]
Movie,2019,TV-MA,82,[433],[54],"[23, 28, 32]"
Movie,2018,TV-14,111,[3591],[46],"[8, 26]"
Movie,2019,TV-Y,24,[0],[154],[17]
Movie,2016,TV-MA,102,[2209],[144],"[8, 23]"
Movie,1983,TV-14,103,[0],[144],"[2, 8, 34]"
Movie,2014,TV-14,87,"[103, 1395]","[54, 137, 139]","[23, 28]"
Movie,2017,TV-PG,100,[3137],[54],[20]
Movie,2016,TV-14,116,[715],[80],"[8, 31, 34]"
Movie,2016,TV-14,139,[209],[75],"[2, 8, 26]"
Movie,2016,R,101,[1504],[54],"[13, 23]"
Movie,2014,PG-13,130,[45],"[32, 72, 139, 161]","[8, 23]"
Movie,2019,TV-MA,171,[2653],[86],"[8, 23, 24]"
Movie,2009,G,84,"[2840, 3081]","[4, 59, 102, 123, 129]","[8, 20]"
Movie,2017,TV-MA,112,"[839, 2989]",[54],"[13, 15, 22]"
Movie,2017,TV-14,62,[465],[54],[29]
Movie,2016,TV-MA,65,[0],[0],[29]
Movie,2016,TV-MA,65,[0],[0],[29]
Movie,2016,TV-MA,69,[0],[0],[29]
Movie,2016,TV-MA,64,[0],[0],[29]
Movie,2016,TV-MA,63,[0],[0],[29]
Movie,2016,TV-MA,63,[0],[0],[29]
Movie,2016,R,112,[653],"[102, 139, 154]","[13, 23]"
Movie,2018,TV-14,103,[1854],[54],[26]
Movie,2017,TV-G,64,[2524],[54],[17]
Movie,2015,TV-PG,82,[598],[54],"[20, 27]"
Movie,2019,TV-14,80,[1300],[54],"[25, 28]"
Movie,2019,TV-MA,88,[561],[7],[34]
Movie,2017,TV-14,124,[674],[54],"[20, 27]"
Movie,1982,R,104,[3226],[144],"[8, 34]"
Movie,2012,TV-14,76,[1274],[54],[29]
Movie,2015,R,92,[1762],"[7, 85, 102]","[25, 28]"
Movie,2016,R,91,[2705],[54],"[2, 34]"
Movie,2014,R,93,[351],[54],"[13, 25]"
Movie,2010,PG-13,112,[1251],"[54, 85, 90, 139]","[14, 31, 34]"
Movie,2016,TV-MA,89,[1551],"[102, 154]","[13, 15, 33]"
Movie,2016,TV-MA,60,[1350],[54],[29]
Movie,2010,,84,[393],[54],[18]
Movie,2015,NR,93,"[701, 1317]",[54],[20]
Movie,2016,TV-14,41,[1883],[7],[20]
Movie,2019,TV-PG,64,[3241],[54],"[8, 20, 27]"
Movie,2006,TV-14,94,[523],[54],[20]
Movie,2019,TV-MA,86,[1347],[54],[18]
Movie,2011,TV-14,113,[1285],[124],"[2, 8, 26]"
Movie,2016,TV-MA,92,[254],[88],"[8, 23]"
Movie,2018,TV-14,153,[1957],[86],"[8, 23, 24]"
Movie,2017,TV-PG,111,[3480],[124],"[8, 23, 24]"
Movie,2005,TV-14,141,[1701],[124],"[8, 23]"
Movie,2018,TV-MA,128,[204],[86],"[2, 8, 34]"
Movie,2017,TV-14,52,[2537],[0],[20]
Movie,2017,TV-14,117,[2768],[86],"[8, 23]"
Movie,2017,TV-14,100,[816],[86],"[8, 23]"
Movie,2017,TV-14,112,[1662],[86],"[8, 23]"
Movie,2017,TV-MA,110,[3272],[86],"[8, 23]"
Movie,2018,TV-MA,98,"[2150, 2417]",[0],"[8, 25]"
Movie,2017,TV-MA,137,[2083],"[91, 102]",[23]
Movie,2013,TV-14,108,[110],[149],"[8, 23]"
Movie,2016,TV-14,132,[1807],[56],"[2, 8, 26]"
Movie,2017,TV-14,87,[732],"[54, 58]",[34]
Movie,2016,TV-MA,92,[732],[131],"[28, 34]"
Movie,2017,TV-MA,108,[1127],"[54, 92]",[20]
Movie,2016,R,91,"[815, 1928]",[54],[26]
Movie,2012,TV-14,83,[1608],[54],"[20, 27]"
Movie,2014,NR,90,"[755, 2854]",[54],[20]
Movie,2019,TV-14,157,[2388],[86],"[8, 26, 27]"
Movie,2019,TV-PG,83,[184],[54],"[8, 20]"
Movie,2018,TV-14,95,[510],[54],"[13, 23]"
Movie,2002,TV-MA,107,[2504],[99],"[8, 23]"
Movie,2018,TV-14,109,[3397],[83],"[8, 15, 34]"
Movie,2010,TV-MA,100,"[1808, 2198, 2532, 2664]",[99],"[8, 25]"
Movie,2018,TV-MA,114,[2305],"[101, 102]","[8, 13, 23]"
Movie,2018,TV-MA,98,[2630],[54],"[2, 26, 28]"
Movie,2019,TV-MA,106,[1863],[54],[23]
Movie,2019,TV-14,87,[1967],[54],[30]
Movie,2018,TV-MA,90,[3590],[54],"[25, 28]"
Movie,2019,TV-MA,65,[869],[54],[20]
Movie,2018,TV-14,105,[176],[46],"[8, 26]"
Movie,2019,TV-14,107,[1665],[75],"[8, 23, 24]"
Movie,2019,TV-PG,103,[2815],[54],"[17, 24, 31]"
Movie,2018,TV-14,88,"[37, 499]",[54],"[15, 34]"
Movie,2018,TV-14,100,[0],[54],[20]
Movie,2017,G,78,[2889],[54],[20]
Movie,2016,TV-PG,25,[819],[54],[20]
Movie,2013,PG,96,[3366],[54],"[17, 31]"
Movie,2018,TV-MA,100,[2994],[43],"[8, 23]"
Movie,2017,TV-14,40,[2079],[54],[20]
Movie,2017,TV-MA,71,[657],[54],[29]
Movie,2018,TV-MA,123,[22],[65],"[8, 23]"
Movie,2014,TV-MA,89,[2633],[7],[25]
Movie,2019,TV-MA,67,[953],"[54, 139]",[29]
Movie,2010,PG-13,140,[3049],[54],"[23, 24]"
Movie,2019,TV-MA,96,[1883],[0],"[8, 20]"
Movie,2019,TV-MA,93,"[1598, 3274]",[7],"[8, 20]"
Movie,2018,TV-14,86,[432],[54],[30]
Movie,2017,R,96,[3582],[54],"[13, 26, 28]"
Movie,2000,R,102,[1509],"[54, 85]","[2, 14, 26]"
Movie,1997,PG-13,108,[1036],[54],[34]
Movie,2012,TV-14,81,[810],"[89, 102]","[8, 20]"
Movie,2017,R,102,[1150],"[7, 85, 102]",[34]
Movie,2018,TV-MA,93,[1392],[54],[20]
Movie,2008,PG,87,[2866],"[32, 54]",[17]
Movie,2005,PG-13,94,[2765],"[85, 102, 125]","[24, 26]"
Movie,2019,TV-14,100,[1619],[143],"[8, 23]"
Movie,2007,PG-13,88,[759],[54],[26]
Movie,2009,PG-13,109,[3441],[54],[23]
Movie,2003,R,138,[2078],"[54, 108]","[13, 23]"
Movie,2014,TV-MA,149,[1619],[143],"[8, 13, 23]"
Movie,2014,TV-MA,82,"[810, 2007]","[8, 17, 27, 32, 106]","[8, 23, 28]"
Movie,2006,PG,86,"[853, 1108]",[54],"[17, 31]"
Movie,2012,TV-14,112,[1619],[143],"[8, 24, 26]"
Movie,2006,PG-13,98,[691],[54],"[2, 34]"
Movie,2008,R,113,[2332],[54],"[23, 28]"
Movie,2004,G,47,[3292],[54],[17]
Movie,1981,R,106,[3543],[54],"[11, 14, 31]"
Movie,2007,R,113,[716],[54],"[14, 26]"
Movie,2017,TV-14,119,[1619],[143],"[8, 23, 24]"
Movie,2016,TV-14,109,[1619],[143],"[8, 13, 23]"
Movie,2006,PG,98,[1602],[54],"[15, 23, 24]"
Movie,2010,PG-13,88,[2049],"[59, 102]","[13, 25, 28]"
Movie,1997,PG-13,116,[1496],[54],"[24, 34]"
Movie,2009,R,106,[419],"[54, 139]",[34]
Movie,2019,TV-14,95,[3389],[12],"[8, 26]"
Movie,2018,TV-MA,95,[1780],[133],"[8, 31, 34]"
Movie,2008,UR,113,[2302],[54],"[31, 34]"
Movie,2015,TV-14,122,[1545],[82],"[4, 8, 20]"
Movie,2005,R,110,[3359],[54],"[13, 22]"
Movie,2017,TV-MA,104,[2836],"[59, 160]","[8, 13, 23]"
Movie,2018,R,96,[1423],[54],"[13, 25]"
Movie,2018,TV-MA,109,[241],[86],"[8, 23, 28]"
Movie,2018,TV-14,95,[1429],[86],"[2, 17, 31]"
Movie,2018,TV-14,110,[3352],[86],"[8, 23, 28]"
Movie,2017,TV-MA,110,[1751],[86],"[8, 23, 28]"
Movie,2007,NR,79,[1530],[54],"[0, 14, 26]"
Movie,2018,TV-PG,101,[3541],"[36, 79, 86]","[8, 23, 28]"
Movie,2013,TV-MA,112,[3396],[99],"[0, 8, 26]"
Movie,1991,NR,94,[1632],[131],"[8, 26, 28]"
Movie,2017,TV-14,94,[2480],[59],"[4, 8, 23]"
Movie,2017,R,86,[1971],[54],[25]
Movie,2017,TV-MA,84,[2378],[54],"[13, 25, 28]"
Movie,2017,PG-13,95,[3347],[54],"[13, 23]"
Movie,2018,TV-14,93,[467],[0],"[4, 8, 20]"
Movie,2017,TV-MA,113,[2944],[99],"[8, 13, 25]"
Movie,1994,PG-13,111,[1817],[54],[34]
Movie,2018,TV-Y7-FV,68,[2593],[0],[17]
Movie,1988,TV-14,148,[1516],[86],"[8, 34]"
Movie,2017,TV-14,54,[0],[0],"[8, 20]"
Movie,2012,TV-MA,92,[2940],[83],"[8, 10, 34]"
Movie,2013,TV-MA,107,[2940],[83],"[8, 10, 34]"
Movie,2006,TV-14,90,[3465],[54],"[23, 28]"
Movie,1976,TV-PG,135,[0],[86],"[8, 24, 26]"
Movie,2016,TV-MA,52,"[1030, 2933]","[32, 109]","[4, 8, 20]"
Movie,1983,TV-14,151,[1516],[86],"[8, 23, 27]"
Movie,2015,TV-MA,90,[1539],"[54, 132]",[20]
Movie,2004,NR,88,[383],[83],"[8, 10, 34]"
Movie,2003,NR,99,[383],[83],"[8, 10, 34]"
Movie,2002,NR,99,[383],[83],"[8, 10, 34]"
Movie,1973,TV-14,132,[57],[86],"[8, 34]"
Movie,2017,TV-MA,95,[3385],[54],"[0, 26]"
Movie,2015,TV-14,155,[2157],[86],"[4, 8, 23]"
Movie,1974,TV-14,162,[466],[86],"[8, 26, 27]"
Movie,1989,TV-14,163,[2659],[86],"[2, 8, 34]"
Movie,2011,TV-14,102,[2657],[83],"[8, 10, 34]"
Movie,2009,TV-14,96,[2657],[83],"[8, 10, 34]"
Movie,2010,TV-14,85,[2657],[83],"[8, 10, 34]"
Movie,2005,NR,97,[321],[83],"[8, 10, 34]"
Movie,2006,NR,95,[2635],[83],"[8, 10, 34]"
Movie,2004,NR,83,[2389],[83],"[8, 10, 34]"
Movie,2016,TV-MA,89,[2057],[125],"[8, 31, 34]"
Movie,2017,TV-MA,28,"[155, 3031]",[54],"[4, 20]"
Movie,2016,TV-MA,103,"[1155, 2350]",[59],"[8, 20]"
Movie,1986,R,84,[1655],[54],"[11, 28, 31]"
Movie,1984,TV-PG,160,"[83, 2113]","[86, 121]","[8, 23, 24]"
Movie,2016,TV-MA,113,"[2729, 3467]","[66, 129]","[2, 8, 26]"
Movie,2016,TV-MA,99,[396],"[54, 150]",[30]
Movie,2016,TV-Y7-FV,86,[1374],[75],"[17, 31]"
Movie,2016,TV-MA,83,[1550],"[7, 31, 96, 102, 130]","[8, 20]"
Movie,2017,TV-MA,113,[1201],"[32, 66, 95, 129]","[8, 23]"
Movie,2016,TV-14,86,"[880, 3005]",[66],"[8, 20]"
Movie,2017,TV-MA,78,[938],[54],"[20, 27, 32]"
Movie,2015,NR,111,[22],[65],"[8, 23]"
Movie,2015,TV-14,88,[3107],[65],"[8, 26]"
Movie,2014,TV-14,93,[1755],"[56, 102, 105]","[8, 23, 28]"
Movie,2008,TV-Y7,29,[566],[7],"[17, 31]"
Movie,2015,TV-PG,88,[2195],"[102, 154]","[2, 4, 17]"
Movie,2016,NR,103,[177],[54],[20]
Movie,2015,TV-MA,107,[1624],[82],"[8, 26]"
Movie,2016,TV-14,52,[0],[7],[20]
Movie,2016,TV-MA,91,[1684],[82],"[8, 24, 26]"
Movie,2013,NR,75,[943],[54],[29]
Movie,2019,PG-13,106,[2483],[54],"[23, 24]"
Movie,2019,TV-14,87,[1382],[54],"[13, 23]"
Movie,2009,TV-PG,96,[2283],[124],"[2, 4, 17]"
Movie,2018,TV-MA,57,[2485],[54],[29]
Movie,2016,TV-14,98,[599],[124],"[8, 23, 24]"
Movie,2015,NR,99,[3551],"[7, 102, 155]","[8, 20]"
Movie,2019,TV-MA,70,[972],[54],[29]
Movie,2019,TV-Y7,46,[0],[54],"[17, 31]"
Movie,2018,TV-14,119,[3012],[148],"[2, 8, 34]"
Movie,2014,R,111,[2292],"[102, 117]","[8, 23]"
Movie,2017,TV-MA,80,[3026],[54],"[20, 27]"
Movie,2016,TV-MA,101,[455],[54],[20]
Movie,2016,TV-MA,73,[185],[54],[29]
Movie,2016,TV-MA,108,[519],"[76, 88]","[2, 8, 34]"
Movie,2018,TV-14,101,[1880],[124],"[8, 23, 24]"
Movie,2015,TV-14,92,[2809],[80],"[2, 8, 26]"
Movie,2018,PG-13,94,[1025],[54],[25]
Movie,2017,TV-PG,107,[3230],"[75, 120, 134]","[8, 31, 34]"
Movie,2017,TV-MA,106,[2159],[54],"[20, 32]"
Movie,2019,TV-MA,109,[1515],[86],"[8, 23, 28]"
Movie,2014,TV-14,151,[599],[124],"[4, 8, 23]"
Movie,2016,TV-PG,74,[1701],[124],"[8, 23]"
Movie,2018,TV-MA,89,[2033],[7],"[13, 25]"
Movie,2018,R,124,[2082],[54],"[2, 26, 28]"
Movie,2018,TV-Y,25,[0],[0],[17]
Movie,2016,TV-PG,100,[0],"[7, 150]",[20]
Movie,2019,TV-14,110,[1076],[46],"[8, 24, 26]"
Movie,2019,TV-MA,102,[1338],[154],"[13, 25]"
Movie,2019,TV-PG,102,[2182],[46],"[17, 31]"
Movie,2019,TV-Y,24,"[1249, 1475]",[54],[17]
Movie,2016,TV-MA,84,[1747],"[7, 85, 130]","[13, 23]"
Movie,2009,TV-PG,121,[1701],[124],"[8, 23]"
Movie,2008,PG-13,85,[1258],[54],"[13, 25]"
Movie,2016,TV-Y7,25,[3548],[54],"[17, 31]"
Movie,2019,TV-MA,65,[1519],[66],[29]
Movie,2018,TV-MA,126,[560],"[32, 82]","[8, 13, 23]"
Movie,2015,R,118,[2565],[63],"[8, 23]"
Movie,2017,TV-MA,84,[1985],[54],[29]
Movie,2016,TV-MA,76,[2467],[54],[20]
Movie,2013,NR,85,[8],[54],[25]
Movie,2019,TV-14,126,[3060],[86],"[8, 23, 24]"
Movie,2005,TV-PG,116,[3352],[86],"[8, 23, 28]"
Movie,2016,TV-14,122,"[2395, 2647]",[86],"[8, 23]"
Movie,2014,TV-G,105,[1014],[86],"[8, 23, 28]"
Movie,2013,TV-PG,90,[1701],[124],"[8, 23]"
Movie,2017,PG-13,75,[2719],[54],"[4, 23, 24]"
Movie,2011,PG,96,[595],[54],[20]
Movie,1978,TV-G,25,[2466],[54],[17]
Movie,2017,PG-13,121,[3270],"[7, 102, 134]","[8, 23]"
Movie,2017,TV-MA,88,[2124],[54],[25]
Movie,2017,R,90,[1033],[54],[25]
Movie,2017,TV-MA,66,[284],[54],[29]
Movie,2017,R,92,[2282],[54],[34]
Movie,2019,TV-MA,63,[3017],[54],[29]
Movie,2019,TV-14,14,[0],[54],"[8, 20]"
Movie,2017,R,87,[2322],"[45, 59, 102, 160]",[23]
Movie,2016,G,92,[963],[154],"[17, 31]"
Movie,2019,TV-PG,28,[2893],"[102, 131]","[8, 20]"
Movie,2018,TV-G,20,[2091],[7],"[4, 8, 20]"
Movie,2015,PG-13,102,[1047],"[40, 54]","[15, 23, 24]"
Movie,2017,PG,93,[963],[154],"[17, 31]"
Movie,2016,TV-14,89,[1589],"[102, 154]","[8, 13, 25]"
Movie,2016,TV-PG,107,[3453],"[7, 36, 85]",[20]
Movie,2016,TV-PG,94,[2603],[59],"[2, 8, 26]"
Movie,2016,TV-MA,110,[2831],"[59, 160]","[8, 26]"
Movie,2016,TV-MA,81,[2357],[59],"[2, 8, 26]"
Movie,2018,TV-MA,89,"[14, 1021]",[54],"[13, 25]"
Movie,2006,TV-MA,94,[3038],"[45, 144]","[8, 34]"
Movie,2017,TV-14,98,[2667],[54],[20]
Movie,2016,TV-MA,77,[2011],[82],"[8, 23]"
Movie,2015,NR,85,[3291],[54],"[2, 26, 28]"
Movie,2019,PG,88,[858],[54],"[4, 23]"
Movie,2018,TV-MA,100,[2716],[0],"[8, 23, 27]"
Movie,2018,PG-13,126,[2044],"[44, 149, 153]","[8, 23]"
Movie,2019,TV-MA,89,[3486],"[70, 102]","[15, 34]"
Movie,2018,TV-MA,90,[935],"[17, 82]","[2, 8, 26]"
Movie,2018,TV-14,87,[0],[118],"[8, 24, 26]"
Movie,2018,TV-14,97,[1664],"[54, 139]",[20]
Movie,2018,TV-MA,115,[2529],[86],"[8, 13, 23]"
Movie,2016,R,91,[3520],[54],"[23, 28]"
Movie,2015,PG-13,98,[876],"[101, 102]","[8, 23]"
Movie,2019,TV-14,94,[1356],[54],"[13, 15, 25]"
Movie,2014,TV-MA,106,[3022],[46],"[8, 13, 23]"
Movie,2019,R,118,[3093],[54],"[2, 26]"
Movie,2019,TV-MA,127,[3602],"[36, 54, 139]",[20]
Movie,2019,TV-PG,61,[3161],[0],[33]
Movie,2019,TV-MA,86,[2127],[54],"[13, 25, 28]"
Movie,2018,TV-MA,94,[165],[5],"[2, 8, 26]"
Movie,2018,TV-14,93,[3173],[54],[20]
Movie,2017,TV-14,48,"[31, 1105]",[7],[20]
Movie,2015,R,168,[2130],[54],"[13, 34]"
Movie,2015,TV-G,90,"[303, 602, 705, 1121, 1653, 1666, 1741, 2566, 2947, 2980, 3050, 3284, 3455]",[54],[17]
Movie,2019,PG-13,82,[559],[54],"[20, 27]"
Movie,2019,TV-14,92,"[1145, 2476]","[29, 71]","[8, 25]"
Movie,2015,TV-14,138,[3075],[86],"[2, 8, 34]"
Movie,2017,TV-MA,68,[1579],[7],[29]
Movie,2014,NR,90,"[2358, 3112]",[54],[20]
Movie,2014,R,95,[2085],"[26, 154]","[2, 34]"
Movie,2019,TV-PG,52,[2952],[54],[20]
Movie,2018,TV-MA,108,[2845],"[45, 144]","[8, 34]"
Movie,2018,TV-MA,74,[3086],[54],[29]
Movie,2018,PG-13,102,[765],[54],"[15, 34]"
Movie,2015,R,97,[1648],[54],"[2, 26, 28]"
Movie,2015,R,91,[709],"[36, 54, 129]","[28, 34]"
Movie,2015,PG-13,96,[3000],[54],"[2, 26, 28]"
Movie,2019,TV-MA,67,[1695],[54],"[5, 20]"
Movie,1974,R,83,[1456],[54],"[0, 21, 28]"
Movie,2015,PG-13,94,[1064],[54],[34]
Movie,2018,TV-14,97,[2785],"[79, 102, 133]","[8, 23, 28]"
Movie,2016,TV-PG,103,"[593, 2491]",[54],[20]
Movie,2010,TV-14,115,[2853],[86],"[8, 23]"
Movie,2007,TV-14,148,[1772],[86],"[8, 13, 23]"
Movie,2006,TV-PG,149,[436],[86],"[24, 27, 33]"
Movie,2010,TV-14,113,[1176],[86],"[8, 23, 27]"
Movie,2008,TV-14,137,[1293],[86],"[24, 27, 33]"
Movie,2011,TV-PG,140,[3130],[86],"[4, 8, 23]"
Movie,2011,TV-PG,144,[2548],[86],"[8, 24, 26]"
Movie,2015,R,105,[191],[54],"[26, 28]"
Movie,2016,R,91,[2811],[7],"[28, 31, 34]"
Movie,2008,TV-PG,119,[1701],[124],"[2, 8, 17]"
Movie,2016,TV-MA,64,[502],[54],[29]
Movie,2014,TV-MA,68,[2573],[54],[29]
Movie,2018,TV-MA,104,"[182, 464]",[53],"[8, 24, 26]"
Movie,2014,TV-14,161,[1711],"[7, 102, 140]","[9, 23]"
Movie,2017,TV-MA,103,[2127],[54],"[13, 23]"
Movie,2011,NR,90,[2527],[54],[20]
Movie,2017,TV-14,95,"[847, 1179]",[54],[20]
Movie,2017,TV-MA,82,[589],[54],[34]
Movie,2019,TV-MA,98,[2938],[131],"[8, 24, 26]"
Movie,2018,TV-PG,76,[707],[54],[20]
Movie,2017,R,111,[765],"[3, 54]",[34]
Movie,2012,TV-MA,81,"[365, 3164]",[54],"[26, 27]"
Movie,2018,TV-MA,64,[502],[0],[29]
Movie,2008,TV-MA,55,[871],[0],[20]
Movie,2014,TV-MA,137,[3164],[7],[26]
Movie,2000,TV-14,56,[871],[7],"[16, 26]"
Movie,1998,TV-MA,58,[0],[54],"[16, 26]"
Movie,1982,R,80,"[1978, 2003]","[7, 102]",[26]
Movie,2014,TV-MA,94,"[527, 1898]",[7],[20]
Movie,1979,R,94,[3301],[7],"[11, 14, 31]"
